Protein IDs	%iBAQ	Unique peptides	Unique + razor sequence coverage [%]
P61204;P84077;F5H423;B7ZB63;F5H0C7;H0YGG7	0.3983117	7	64.1
P05783;F8VZY9;CON__H-INV:HIT000015463	0.3868847	20	74
P62318;B4DJP7;H3BT13	0.3623983	3	31.7
O43175;Q5SZU1	0.3591335	21	49
P62851	0.3526038	5	29.6
P26368;P26368-2;K7ENG2	0.3509713	18	45.9
P31948;G3XAD8;F5H0T1;F5H783;F5GXD8;H0YGI8	0.3493389	61	70.7
P07737;K7EJ44;I3L3D5;CON__P02584	0.3460741	11	73.6
P04075;J3KPS3;H3BQN4;H3BPS8;H3BR04;H3BUH7;H3BMQ8;H3BU78;H3BR68;P05062;Q5T7D5	0.3297498	22	78.6
O00571;O00571-2;O15523;B4DXX7;B4E132;B4E3C4;C9J081;C9J8G5;B4DLA0;Q9NQI0;D6RDK4;Q9NQI0-2;Q9NQI0-3;D6RCM4;H0Y960	0.3215877	37	58.9
P19338;H7BY16;C9JWL1;C9J1H7;C9JLB1;C9JYW2	0.3215877	31	37.7
P46940;H0YLE8;Q86VI3;F2Z2E2;H0YKA5;D6R939;E9PDT6	0.3166904	105	66.9
P43487;C9JXG8;H7C137;C9JGV6;B3KUP2;C9JJ34;C9JDM3;Q5T0Z6;Q5T0Z7;Q9C010;C9JIC6	0.3101607	10	58.7
P68431;P84243;Q16695;Q71DI3;K7EK07;K7ES00;B4DEB1;K7EMV3;Q6NXT2;K7EP01	0.3068959	5	25
Q5T5C7;P49591	0.3068959	34	58.6
P08865;C9J9K3;A6NE09;C9JQR9	0.3019986	16	63.4
P62273;P62273-2	0.2987338	4	58.9
P17844;J3KTA4;B4DLW8;J3QRQ7;J3QSF1;J3KRZ1;J3KRX8;J3QR02;J3QKN9;J3QRN5;J3QS79	0.2971013	32	54.4
P09651;F8W6I7;P09651-2;F8VRQ1;F8VXY0;P09651-3;F8W1S7;F8VSB5;Q32P51;F8VZ49;F8VTQ5;H0YH80;F8W646;F8VYN5;J3KQA8	0.2856744	15	40.3
P06748;P06748-3;P06748-2;E5RI98;E5RGW4	0.2791446	12	34.7
P51991	0.2775122	4	40.2
P46777;Q5T7N0	0.2758798	16	46.1
P62304;A6NHK2	0.2758798	4	69.6
P42677;Q5T4L4;C9J1C5	0.2742474	3	40.5
P30041	0.272615	18	78.1
J3KQ32;Q9NTK5;Q9NTK5-3;Q9NTK5-2;C9JTK6;C9JCJ9	0.2693501	25	57.5
P23246;P23246-2;H0Y9K7;H0Y9U2	0.2677177	33	47.9
B7Z6Z4;G3V1V0;G8JLA2;J3KND3;P60660;P60660-2;F8W1R7;F8VZV5;F8VPF3;G3V1Y7;F8W180;F8VZU9;H0YI43;F8VXL3	0.2562907	5	35.3
P12268;H0Y4R1;E7ETK5	0.2464962	24	47.9
P54577	0.2432313	46	71.4
O00425;O00425-2;F8WD15;Q9NZI8;Q9NZI8-2	0.238334	26	54.6
Q01081;Q01081-2;Q01081-4;M0R2N4;Q01081-3;M0QYK5;K7ERY8;K7EJM7;K7EJH3;K7EPL9	0.2367016	5	45
P25685;B4DX52;M0R080;M0QXK0;M0QYT3;M0QZD0;M0R1D6;M0R128	0.2350692	26	59.4
P62888;E5RI99;E5RJH3	0.2350692	8	67
Q8N1G4;J3KRP5	0.2318043	37	68.6
O00299	0.2269071	13	63.5
P11586;F5H2F4;G3V2B8;G3V3L6	0.2269071	51	54.2
P26599-3;P26599-2;P26599;A6NLN1;K7EK45;K7ES59;K7EKJ7;K7ELW5	0.2269071	13	42.4
P50502;Q8NFI4;Q8IZP2;H7C3I1;F6VDH7;F8WAQ7	0.2236422	12	33.6
Q01813;Q01813-2;B1APP6;B1APP8;Q5VSR5;H0Y757;Q5VSR6;H0Y3Y3	0.2171125	29	40.9
B7Z4C8;P62899-2;P62899;P62899-3;B7Z4E3;C9JU56;H7C2W9;B8ZZK4	0.2154801	9	46.2
O43707;D6PXK4;F5GXS2;H7C144;K7EJH8;K7EP19;D6RH00	0.2138477	48	75.4
P18085;C9JAK5;C9JPM4	0.2138477	7	35.6
P37108;H0YLA2	0.2122152	8	41.9
O60506;O60506-2;O60506-3;O60506-4;O60506-5;F6UXX1	0.207318	20	41.9
P31949	0.207318	6	52.4
A8MUS3;K7ERT8;K7EJV9;H7BY10;P62750;K7EMA7	0.2056855	10	36.1
O60701;O60701-2;O60701-3;E7EV97;E7ETF4;E7ER83;E7ER95;E9PBD2;D6RHF4	0.2024207	28	63.4
P42766;F2Z388;H0Y3A0	0.2024207	6	34.1
P62330	0.2007883	8	48.6
P12830;Q9UII8;H3BNC6;H3BVI7;J3QKP1	0.1991558	41	46.3
P78371;F5GWF6;P78371-2;F8VQ14	0.1991558	38	75.7
Q5W0H4;P13693;J3KPG2;E9PJF7;Q8TBK7;Q56UQ5;H0YCX0;Q9HAU6	0.195891	8	37.8
Q9Y6E2;E7ETZ4;B5MCH7;Q75MG1;B5MCE7;E7EMS9;C9JF98;F8WDX8;E9PFD4	0.1942586	25	64
P10599;P10599-2	0.1926261	8	51.4
B4DR52;Q5QNW6-2;O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	0.1893613	0	44.6
Q9Y383;B7Z4Q3;Q9Y383-2;Q9Y383-3;C9JWT3;F8WEU3;F8WB41;B8ZZ12	0.1893613	9	31.9
Q9Y295;F8WEE0;H0YI06	0.1860964	23	76.8
H0YK46;H0YN88;P08708;P0CW22;H0YN73;H3BNC9	0.184464	10	35.1
P16152;A8MTM1;E9PQ63;B4DFK7	0.1828316	16	73.6
E9PN11;P08134;Q5JR08;E9PQH6;Q5JR05;Q5JR07;Q5JR06;E9PLA2;P62745	0.1795667	6	51.5
P04792;F8WE04;C9J3N8	0.1779343	16	72.2
Q9Y3I0;E7EQS9	0.1779343	30	65.5
P50991;P50991-2;B7Z9L0;B7Z2F4	0.1763019	31	64.7
P06493;P06493-2;E5RIU6;K7ELV5;Q14004;Q9NYV4;Q9NYV4-2;Q14004-2;Q9NYV4-3;J3QSD7;Q00537;Q00537-2;Q07002-3;Q07002-2;Q07002;F5H6Z0;O94921;O94921-2;Q96Q40;F8W6H8;O94921-3;Q96Q40-3;Q96Q40-4;Q96Q40-2;E7EUK8;Q00534;H0YAZ9	0.1746695	20	80.5
P11172;B5LY68;P11172-2;E9PFD2;B5LY72;F8WDG4;F2Z303;F2Z3P2	0.173037	32	57.1
Q15365;F8VTZ0;P57723;P57723-2;C9J0A4;C9JZY3;C9JTY5;C9J5V4;C9JSA6;C9J7A9;C9IZV9;F8WC71;C9K0A2;H3BSP4	0.173037	10	46.3
Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9IZH1;C9JIJ3	0.173037	20	67.6
O60716;O60716-2;O60716-3;C9JZR2;O60716-5;O60716-9;O60716-10;O60716-11;O60716-13;O60716-17;O60716-18;O60716-19;O60716-21;O60716-4;O60716-6;O60716-7;O60716-8;O60716-12;O60716-14;O60716-15;O60716-16;O60716-20;O60716-22;O60716-23;O60716-24;O60716-25;O60716-26;O60716-27;O60716-29;O60716-28;O60716-30;O60716-31;O60716-32;E9PRE2;E9PKY0;H0YC95;E9PKL1	0.1714046	46	53.1
P63244;J3KPE3;H0Y8W2;D6RAC2;D6REE5;H0YAM7;D6RHH4;H0YAF8;D6R9L0;D6R9Z1;D6RFX4;D6RFZ9;D6RBD0;E9PD14;D6RAU2;H0Y8R5;D6RF23;D6R909;H0Y9P0;D6RGK8;D6RHJ5;D6RDI0	0.1714046	22	76.7
P31947;P31947-2	0.1697722	15	60.5
Q00688;G3V5F2	0.1697722	13	54.5
P05388;F8VWS0;Q3B7A4;F8VU65;Q8NHW5;F8VW21;G3V210;F8VPE8;F8VZS0;F8VRK7;F8VQY6;F8VS58;F8VWV4;F8W1K8	0.1681398	13	49.8
P09012;M0R268;M0R2B8;M0R221;M0QXK2;M0QZG7;M0R0G9	0.1681398	9	41.8
P15559;P15559-2;P15559-3;B4DLR8;H3BNV2;H3BRK3	0.1681398	14	48.5
P62266;D6RD47;D6R9I7;D6RIX0;D6RDJ2	0.1681398	5	29.4
Q9Y224;G3V4C6;H0YJB9;G3V4E7	0.1681398	15	64.8
Q9Y265;Q9Y265-2;E7ETR0;H7C4G5;H7C4I3;J3QLR1	0.1681398	27	61
P23284	0.1665073	14	57.9
P37802;Q9UI15;C9J5W6	0.1665073	18	89.4
P07741;H3BQB1;P07741-2;H3BQZ9;H3BQF1;H3BSW3	0.1648749	12	70
P21980;B4DIT7;F5H6P0;P21980-2;P21980-3;A2A299;A2A2A0;O43548;P49221;O43548-2	0.1632425	30	46.3
P46781;C9JM19;B5MCT8;A8MXK4;F2Z3C0	0.1625895	14	46.9
P62136;P62136-2;E9PMD7;A6NNR3;F5H037;F5H1L6	0.1625895	7	45.5
P30101;G5EA52	0.1567128	30	67.3
P84103;B4E241	0.1552436	4	30.5
P22626;P22626-2	0.1550804	20	55.2
Q15366-2;Q15366;Q15366-3;Q15366-6;B4DLC0;F8VRG9;F8VWQ4;H3BSS4	0.1539377	3	42.3
H3BPE7;P35637;P35637-2	0.1537744	6	13.3
P15880;H0YEN5;E9PMM9;E9PQD7;E9PM36;E9PPT0;I3L404;H3BNG3;H0YE27	0.152795	16	51.9
Q13151	0.1513258	10	34.8
Q99729-2;D6RBZ0;Q99729-3;D6RD18;D6R9P3;Q99729;Q99729-4	0.1487139	13	24.7
P06730-2;D6RBW1;P06730-3;P06730;H0Y8J7;A6NMX2;H0Y8X3;D6RHE2;D6RFJ3	0.146755	8	32.3
P05141	0.1444696	4	37.6
A8MWD9;P62308;F5H013;Q49AN9;C9JVQ0	0.1423475	4	36.8
E9PB61;Q86V81	0.142021	14	56.4
P41091;Q2VIR3;F8W810;Q2VIR3-2;H7BZU1	0.140062	25	60.8
Q15233;Q15233-2;H7C367;C9JYS8;C9IZL7;C9J4X2	0.1385929	23	53.1
P84098;J3KTE4;J3QR09;J3QL15	0.1372869	7	34.7
O00148;Q8N5M0;B1Q2N1;K7EQN7	0.1369604	3	31.6
P17931;G3V3R6	0.1354913	9	34
D3DNT2;E7EUU4;E9PGM1;E7EX73;G5E9S1;C9K073;C9J2Z7;H7C044;H7C0V6;C9JHW9;F8WCF2;B1AN89;O43432-2;B4DXR2;REV__J3KQX6;REV__C9JQZ6;REV__F5H7J8;REV__Q8NEG2;B1AN92;B1AN91;REV__C9JBJ8;C9J987;C9JWH9;C9JIH5	0.1317367	1	38.8
P62917;E9PKZ0;E9PIZ3;G3V1A1;E9PKU4;E9PP36	0.1314102	11	31.9
P50990;B4DEM7;B4DQH4;H7C4C8;H7C2U0	0.1286351	35	66.1
P61224;P61224-3;P61224-2;A6NIZ1;P61224-4;F5H7Y6;E7ESV4;F5GX62;B7ZB78;F5H004;F5GZG1;F5H823;F5GYB5;F5H6R7;F5H500;F5H0B7;F5H491;F5GWU8;F5H077;F5GYH7;F5H4H0;F8WBC0	0.1274924	2	39.7
P00966;Q5T6L6;Q5T6L5;Q5T6L7	0.1250437	22	49.8
P25815	0.1247173	3	41.1
P40227;B4DPJ8;P40227-2;J3KRI6	0.1243908	18	42
P00558;B7Z7A9;E7ERH5;P07205	0.1232481	24	52.8
P55957-2;P55957;P55957-4;P55957-3	0.1225951	8	43.2
P62280;M0QZC5;M0R1H6;M0R1H5	0.1225951	10	50.6
P62314;J3QLI9;J3QLR7	0.1212892	5	42.9
O14949	0.1206362	8	67.1
P29373;Q5SYZ4;P29762;B5MCB5	0.120473	14	58.7
Q14498;Q14498-2;Q14498-3;E1P5S2;G3XAC6;H0Y4X3;Q5QP23;Q86U06;Q86U06-2;Q86U06-5;Q86U06-4;Q5QP21;Q5QP22;Q86U06-3;G3XAP0;H0YJJ3;G3V5Z6;G3V546	0.1196567	16	37.9
P18077;C9K025;F8WB72;F8WBS5	0.1194935	9	47.3
P30043;M0R192;M0QZL1	0.1173714	11	65
P61088;F8VQQ8;Q5JXB2;F8VV71;F8VSD4;F8VZ29	0.1172081	9	71.7
Q02790;F5H1U3;H0YFG2;F5H120	0.1168816	38	73.6
P14868;Q68CR9;H7BZ35;C9JLC1;C9J7S3;H7C278;C9JQM9	0.1160654	31	66.7
P19474;F5H012;P19474-2;H0YDP8	0.1152492	28	58.3
Q01130;J3KP15;B4DN89;J3QL05;Q9BRL6;Q9BRL6-2	0.1149227	9	34.4
P35579;P35579-2;Q5BKV1;B1AH99;REV__Q9UKV3;REV__Q9UKV3-5;REV__E7EQT4	0.1145962	117	62.7
G8JLB6;P31943;E9PCY7;D6RBM0;E5RGV0;H0YB39;D6RIU0;E7EN40;D6RIT2;D6RFM3;H0YBD7;D6RIH9;D6RJ04;D6RDU3;D6R9T0;D6RAM1;E7EQJ0;H0YBG7;E5RGH4;D6RDL0;F5GZT4;D6RF17;H0YAQ2;D6R9D3;E5RJ94	0.1142697	10	52.3
O15479;Q9UBF1;P43366;Q96LZ2;O15481	0.113127	12	27.9
Q9Y230;B3KQ59;M0R0Y3;M0QXI6;M0R0Z0;M0QXZ7	0.113127	31	67.4
P20042	0.1126373	12	40.5
P60981;P60981-2;F6RFD5	0.1126373	15	67.3
Q32Q12;P22392-2;J3KPD9;P22392;O60361;F6XY72	0.1119843	6	59.6
P61254;J3QRC4;J3QQV1;J3QQQ9;J3QRI7;J3KTJ8;Q9UNX3;E5RIT6;J3KSS0;E5RHH1;J3KS10	0.1118211	8	35.2
P26583;D6R9A6	0.1108417	8	27.3
P08107;P08107-2;E7EP94;Q5SP16	0.1103519	16	56.3
Q00341;Q00341-2;H0Y394;H7C0A4;H7C2D1;H7BZC3;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JKQ5;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;H7C3D0;C9J739;C9JHS9	0.1100254	62	50
O00231;O00231-2;J3QRY4;J3QS13;J3KSW3	0.1098622	27	65.2
P39748;I3L3E9;F5H1Y3;CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	0.1075768	16	38.7
Q5TC12-3;E9PPX6	0.1067606	1	5.4
Q06210;Q06210-2;E5RJP4	0.1067606	33	66.7
Q13263;Q13263-2;M0R0K9;M0R3C0;M0R2I3	0.1067606	30	37
P25398	0.1065973	5	40.2
P35221;P35221-2;G3XAM7;F8W845;Q8N1C0;E5RIB1;E5RG03;E5RIC3;E5RJ41;E5RGY6;E5RHV7;E5RGY7;E5RIE0;E5RJL0;E5RGD2;H0YBB8;E5RJP7;E5RFM5;E5RFK9;E5RFM3;E5RFG3;E5RHJ5;E5RGU3;Q9UI47;A6NKP0;E5RIT8;E5RGS1;E5RJ43;E5RGG4;E5RJZ2	0.1057811	40	69
Q8N5M4;E9PKV8;Q8WYY7;E7EST3;H0YDR3	0.1056179	6	31
Q15691	0.1054546	12	42.2
O95747;C9JIG9;F8WBK9	0.1051282	17	39.8
P55884-2;P55884;C9JZG1;C9JQN7	0.1044752	39	49.5
O00622	0.1033325	19	47.5
Q15785	0.1033325	19	56.6
P31689;B7Z5C0	0.103006	17	52.6
Q02750;Q02750-2;H3BRW9	0.103006	10	24.7
P23526;P23526-2	0.1025163	20	43.3
P07900-2;P07900;Q86U12;G3V2J8;Q14568;Q58FG0	0.102353	24	28.2
P30050;P30050-2	0.102353	9	69.1
P30044;P30044-2;P30044-3;A6NC19	0.1020266	8	44.9
P62316;P62316-2;K7ERG4;K7EJB5	0.1020266	9	61.9
Q86U42;Q86U42-2;Q92843-2;G3V4T2;B4DEH8;H0YJH9;A6NDY0-4;A6NDY0;A6NDY0-2	0.1018633	12	46.1
P24534;C9JZW3;F2Z2G2;F8WF65	0.1013736	6	30.7
P01857	0.1003941	5	57.3
P50454;E9PPV6;E9PR70;E9PKH2;E9PMI5;E9PK86;E9PNX1;E9PRS3;E9PIG2;E9PJH8;E9PQ34;E9PLA6;H0YEP8	0.1003941	24	67
H3BLZ8;Q92841;Q92841-3;Q92841-2;Q92841-1;C9JMU5;G5E9L5	0.09974116	25	34.7
Q9GZZ1;E7EQ69;C9J5D1;B0AZT5;Q9GZZ1-2;C9JZU6;C9J5J3;F8WCK0	0.09908819	16	69.8
P62258;P62258-2;I3L3T1;B4DJF2;K7EM20;K7EIT4;I3L0W5	0.09892495	16	60.8
P53999;D6R970;D6RC37	0.09859847	6	44.9
Q9Y285;K7ER00;B4E363;K7EPH2;K7ER16;K7ERS0;K7EK06	0.09859847	21	49.2
Q7L1Q6-3;Q7L1Q6-4;Q7L1Q6;Q7L1Q6-2;C9IZ80;C9JFN4;C9JWF5;C9J188;H0Y503;C9JV57	0.09843522	20	42.1
P60953;E7ETU3;P60953-1;Q5JYX0	0.09712928	9	62.8
O00483	0.09614982	4	46.9
P60228;E5RGA2;H0YBR5;E5RHS5;H0YAW4;E5RIT4;E5RII3;E5RJ25;E5RIP5;H0YBP5	0.09484389	21	43.8
P68402;P68402-4;J3KNE3;P68402-2;P68402-3	0.09435416	4	20.1
P27348;E9PG15	0.09402768	14	49.8
Q16629;C9JAB2;Q16629-4;Q16629-2;Q16629-3;F8WEA1	0.09386443	6	28.6
B3KSH1;O00303;B4DEW9;H0YDT6;E9PQV8	0.09321146	15	49.7
E7EWS7;P68036;P68036-2	0.09288498	8	50.5
P56192;A6NC17;B3KVK7;H0YHV5;H0YIP0;F5H2V6;H0YI94;H0YIC2;H0YI27;F8VZZ9;F8W0S4;F8W0M7;H0YHL6;F8VS26	0.09206876	35	42.8
Q9UHX1-6;Q9UHX1-2;Q9UHX1-5;Q9UHX1-4;Q9UHX1;Q9UHX1-3;E9PQ56;H0YEM1;E9PN18;E9PMU7;H0YCP8;E9PL19	0.09174228	24	58.3
B0V043;P26640;Q5SP20;B4DZ61;H0Y426;A2ABF4;B0V044	0.09010985	57	49.7
P11413-2;P11413-3;P11413;E7EUI8;E7EM57;E9PD92	0.08962013	35	57
P12956;B1AHC9;B1AHC8;F5H1I8	0.08945689	39	58.5
Q99832;Q99832-3;B8ZZC9;Q99832-4;F5GZK5;B7Z1C9;Q99832-2;F8WAM2;F8WBP8	0.08896716	30	61.5
Q9BXJ9;Q9BXJ9-4	0.08880392	42	55.5
P68032;P62736;P63267;P68133;Q5T8M7;A6NL76;Q5T8M8;P63267-2;F6QUT6;F6UVQ4;C9JFL5;B8ZZJ2;F8WB63;F8WCH0	0.08831419	1	4.2
P31939;E9PBU3;F5GWY2;H7C1S2;C9JLK0;H7C084;H7BZU3;F8WEF0	0.08782446	35	70.6
P0C0S5;Q71UI9;C9J0D1;Q71UI9-2;Q71UI9-4;Q71UI9-3;C9J386	0.08749797	4	46.9
P41252;J3KR24;Q5TCC4;Q5TCD1;Q5TCC5;Q5TCD2;Q5TCC6	0.08700825	62	45.1
Q14152;F5H335	0.08619203	67	45.8
P60903	0.08570231	3	27.8
P14866;M0QXS5;P14866-2;M0QYT0;M0R1W6;M0QYL7;B4DVF8;M0R076	0.08553907	17	46
E9PRY8;P29692-2;P29692;P29692-4;E9PK01;E9PQZ1;E9PI39;E9PQ49;E9PL12;E9PPR1;H0YE72;H0YCK7;E9PIZ1;E9PMW7;E9PK06;H0YE58;E9PK72;E9PKK3;E9PJD0;E9PQC9;E9PNW6	0.08553907	2	24.1
Q07666;Q07666-2;Q07666-3;Q5VWX1;O75525;O75525-2;E5RJZ9;H0YAQ3;H0YAQ1;E5RG12;Q9UBC1;Q9UBC1-3;Q5STV6;Q9UBC1-2	0.08553907	12	20.1
P55072;C9IZA5;C9JUP7;E7EQM8	0.08537582	45	61.9
P21333;P21333-2;Q5HY54;E9PHF0;F8WE98;H0Y5C6;H0Y5F3;H7C2E7	0.08504934	104	56.8
Q9Y446;E9PKC4;E9PK71;E9PRW6;E9PJR7;E9PQ15;H0YEY5	0.08455961	38	55.7
Q9UQ80;F8VTY8;F8VRZ3;F8VR77;F8W0A3;H0YIN7;F8VZ69	0.08406989	18	48
P26373;P26373-2;J3QSB4;J3KS98;H3BTH3	0.08276394	8	38.4
P31942;P31942-2;P31942-3;B4DHY1;P31942-4;P31942-5;P31942-6	0.08227421	9	33.2
Q13155;F8W950;A8MU58	0.08031531	10	40.6
P18669;P15259;Q8N0Y7	0.07998882	12	60.6
Q13148-2;Q13148;G3V162;B1AKP7;K7EJM5;K7EN94;B4DJ45;Q13148-3;K7EJ99;K7EL26	0.07998882	10	25
Q8NC51;Q8NC51-2;Q8NC51-3;Q8NC51-4	0.07933585	20	49.3
P04080	0.07754018	7	89.8
Q9H3K6;H3BVE0;H3BTW0;H3BV85;Q9H3K6-2	0.07754018	6	80.2
Q9BUF5;K7ESM5;K7EL29;K7EN98;K7ES63;K7EPE5;K7EJZ4;K7ERA8;K7EJ64;K7EQT3;K7ESQ3;K7EK43	0.0772137	9	37.7
P10809;E7ESH4;E7EXB4;B7Z712;C9JL25;C9JCQ4;C9JL19;C9J0S9	0.07688721	33	56.2
Q9H223	0.07639749	17	43.6
P49588;H3BPK7	0.07623424	48	54.6
B4DVB8;Q15717;M0QZR9;M0R055;B1AM49;Q12926;Q12926-2;B1AM48	0.076071	12	38.5
O43324;C9J1V9;D6RBD7;O43324-2;H0YAL7;D6RCQ0;H0YAH9	0.076071	9	48.3
P27635;F8W7C6;Q96L21;H7C2C5;H7C123;A6QRI9;B8A6G2;H7C2U2	0.07574452	8	29.4
P62854;Q5JNZ5	0.07541803	3	27
Q14974;B7ZAV6;J3KTM9;F5H4R7;J3QR48;J3QKQ5;J3QRG4;J3KS06	0.07476506	36	48.1
P49368;P49368-2;B4DUR8;Q5SZX6;E9PRC8;Q5SZW8;Q5SZX9;E9PM09;E9PQ35	0.07411209	32	56.5
Q9BV86;Q9BV86-2	0.07329588	7	33.2
P63000-2;P63000;P15153;P60763;B1AH80;B1AH78;B1AH77;J3QLK0;J3KSC4;Q9H4E5;P17081;Q9H4E5-2;G3V476;G3V4H1;B1AH79;F8WET9	0.07296939	8	43.6
Q02878;F8W181;F8VZ45;F8VR69;F8VWR1;F8VZA3	0.07264291	15	47.6
P22234-2;P22234;E9PBS1;D6RF62	0.07264291	22	44.2
Q9NSD9;F5H6Y1	0.07247967	24	40.2
P17858;P17858-2	0.07198994	25	39
O15305;H3BV55;F5H0W0;H3BPH4;H3BRM0;B7Z419;B7Z6R0;H3BNY9;H3BT06;H3BV34;H3BM92;H3BR08	0.07166345	14	60.6
Q96FQ6	0.07166345	7	68
